id,time,device_id,application_id,gateway_id,modulation,"spreading factor",bandwidth,snr,rssi,frequency,f_port,f_cnt,latitude,longitude,altitude,"accuracy meters",hdop,satellites,"location provider","user agent","experiment name"
530546724,"2022-07-04 02:43:53.736+00",endnode1,watermeasurement,bkmaker,LORA,7,125000,8.00,-79.00,922600000,1,23,16.075096,108.153926,10.4,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530546780,"2022-07-04 02:44:12.572+00",endnode2,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,2.50,-82.00,922200000,1,162,16.074703,108.153604,-0.2,59.60,,,network,"Android10 App34:2021.12.17",DUTtest04072022
530546781,"2022-07-04 02:44:12.572+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,2.80,-109.00,922200000,1,162,16.074703,108.153604,-0.2,59.60,,,network,"Android10 App34:2021.12.17",DUTtest04072022
530546788,"2022-07-04 02:44:14.261+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,3.50,-78.00,922000000,1,26,16.074928,108.153021,4.4,9.94,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530547071,"2022-07-04 02:46:27.438+00",endnode1,watermeasurement,7276ff002e0507da,LORA,7,125000,-2.20,-103.00,922000000,1,6,16.069037,108.151595,6.1,10.03,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530547302,"2022-07-04 02:48:39.612+00",endnode1,watermeasurement,7276ff002e0507da,LORA,7,125000,-3.80,-102.00,922200000,1,25,16.069951,108.158477,1.1,10.59,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530547806,"2022-07-04 02:52:17.317+00",endnode2,watermeasurement,trungnam,LORA,7,125000,-4.30,-118.00,922000000,1,231,16.075215,108.157310,2.0,13.65,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530547890,"2022-07-04 02:52:54.047+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,0.80,-77.00,922000000,1,62,16.075165,108.156004,-2.0,6.50,,,gps,"Android9 App34:2021.12.17",DUTtest04072022
530547888,"2022-07-04 02:52:54.047+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,0.80,-77.00,922000000,1,62,16.075178,108.155886,-0.6,9.94,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530547891,"2022-07-04 02:52:54.047+00",endnode1,watermeasurement,7276ff002e0507da,LORA,7,125000,1.50,-103.00,922000000,1,62,16.075165,108.156004,-2.0,6.50,,,gps,"Android9 App34:2021.12.17",DUTtest04072022
530547889,"2022-07-04 02:52:54.047+00",endnode1,watermeasurement,7276ff002e0507da,LORA,7,125000,1.50,-103.00,922000000,1,62,16.075178,108.155886,-0.6,9.94,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530547924,"2022-07-04 02:53:20.704+00",endnode1,watermeasurement,7276ff002e0507da,LORA,7,125000,-5.50,-103.00,922400000,1,66,16.074275,108.153836,4.0,6.00,,,gps,"Android9 App34:2021.12.17",DUTtest04072022
530547923,"2022-07-04 02:53:20.704+00",endnode1,watermeasurement,7276ff002e0507da,LORA,7,125000,-5.50,-103.00,922400000,1,66,16.074348,108.153732,2.7,9.94,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530548081,"2022-07-04 02:54:42.135+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,-6.30,-87.00,922000000,1,78,16.073648,108.150009,-4.0,8.00,,,gps,"Android9 App34:2021.12.17",DUTtest04072022
530548080,"2022-07-04 02:54:42.135+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,-6.30,-87.00,922000000,1,78,16.073670,108.149950,5.0,3.79,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530548200,"2022-07-04 02:55:21.941+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,2.80,-70.00,922800000,1,84,16.074369,108.152322,-6.0,7.00,,,gps,"Android9 App34:2021.12.17",DUTtest04072022
530548199,"2022-07-04 02:55:21.941+00",endnode1,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,2.80,-70.00,922800000,1,84,16.074535,108.152392,-2.8,4.04,,,gps,"Android12 App34:2021.12.17",DUTtest04072022
530548209,"2022-07-04 02:55:22.658+00",endnode2,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,0.80,-82.00,922200000,1,258,16.074571,108.152391,12.6,19.60,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530548210,"2022-07-04 02:55:22.658+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,-4.80,-110.00,922200000,1,258,16.074571,108.152391,12.6,19.60,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530548222,"2022-07-04 02:55:29.774+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,5.00,-99.00,922400000,1,259,16.074778,108.152864,9.4,23.36,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530548221,"2022-07-04 02:55:29.774+00",endnode2,watermeasurement,rfthings-rak7240-79ed,LORA,7,125000,5.00,-77.00,922400000,1,259,16.074778,108.152864,9.4,23.36,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
530548260,"2022-07-04 02:55:35.941+00",endnode2,watermeasurement,bkmaker,LORA,7,125000,4.50,-103.00,922600000,1,260,16.074951,108.153287,8.2,23.27,,,gps,"Android10 App34:2021.12.17",DUTtest04072022
