id,time,device_id,application_id,gateway_id,modulation,"spreading factor",bandwidth,snr,rssi,frequency,f_port,f_cnt,latitude,longitude,altitude,"accuracy meters",hdop,satellites,"location provider","user agent","experiment name"
479440426,"2022-01-22 01:51:01.634+00",end-node1,relay-rf200,trungnam,LORA,7,125000,4.80,-107.00,921400000,1,24,16.186034,108.134719,402.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440463,"2022-01-22 01:51:10.802+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.50,-107.00,921400000,1,25,16.186489,108.133962,396.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440492,"2022-01-22 01:51:28.665+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.80,-102.00,921400000,1,27,16.186162,108.132315,388.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440520,"2022-01-22 01:51:37.569+00",end-node1,relay-rf200,trungnam,LORA,7,125000,5.00,-108.00,921400000,1,28,16.185607,108.131644,380.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440559,"2022-01-22 01:51:54.082+00",end-node1,relay-rf200,trungnam,LORA,7,125000,2.30,-113.00,921400000,1,30,16.183834,108.131564,367.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440598,"2022-01-22 01:52:03.704+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.30,-110.00,921400000,1,31,16.183007,108.131499,363.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440614,"2022-01-22 01:52:11.826+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.30,-106.00,921400000,1,32,16.182241,108.131353,359.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440663,"2022-01-22 01:52:30.042+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.00,-101.00,921400000,1,34,16.180492,108.131157,352.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440681,"2022-01-22 01:52:38.848+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.80,-107.00,921400000,1,35,16.179702,108.130993,344.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440709,"2022-01-22 01:52:46.97+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.00,-116.00,921400000,1,36,16.179191,108.130341,338.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440804,"2022-01-22 01:53:14.411+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.80,-101.00,921400000,1,38,16.177298,108.130503,328.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440843,"2022-01-22 01:53:33.601+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-4.00,-107.00,921400000,1,40,16.175594,108.129765,308.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440842,"2022-01-22 01:53:33.601+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-0.50,-114.00,921400000,1,40,16.175594,108.129765,308.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440882,"2022-01-22 01:53:42.58+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-6.00,-107.00,921400000,1,41,16.174716,108.129765,300.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440895,"2022-01-22 01:53:50.611+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-4.80,-121.00,921400000,1,42,16.173902,108.129937,296.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440947,"2022-01-22 01:54:17.216+00",end-node1,relay-rf200,trungnam,LORA,7,125000,5.80,-107.00,921400000,1,45,16.171728,108.129440,282.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479440998,"2022-01-22 01:54:34.796+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-5.00,-121.00,921400000,1,47,16.170218,108.128534,266.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479441160,"2022-01-22 01:55:31.418+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-7.20,-107.00,921400000,1,52,16.166468,108.125931,236.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479441385,"2022-01-22 01:57:01.301+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-4.80,-107.00,921400000,1,62,16.161066,108.129981,178.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479441623,"2022-01-22 01:58:33.835+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-8.50,-106.00,921400000,1,0,16.155116,108.133660,121.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479441838,"2022-01-22 01:59:51.12+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-1.80,-105.00,921400000,1,2,16.149002,108.134472,103.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479441939,"2022-01-22 02:00:36.402+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.50,-107.00,921400000,1,7,16.146042,108.137191,81.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479441949,"2022-01-22 02:00:46.104+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.50,-98.00,921400000,1,8,16.145256,108.136761,79.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442001,"2022-01-22 02:00:55.085+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-0.50,-105.00,921400000,1,9,16.144626,108.136121,73.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442039,"2022-01-22 02:01:13.278+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.80,-93.00,921400000,1,11,16.143520,108.135025,66.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442075,"2022-01-22 02:01:23.016+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.80,-116.00,921400000,1,12,16.142402,108.134955,61.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442107,"2022-01-22 02:01:32.007+00",end-node1,relay-rf200,trungnam,LORA,7,125000,10.00,-100.00,921400000,1,13,16.142132,108.134890,58.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442152,"2022-01-22 02:01:41.792+00",end-node1,relay-rf200,trungnam,LORA,7,125000,9.00,-90.00,921400000,1,14,16.141953,108.133909,56.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442163,"2022-01-22 02:01:51.192+00",end-node1,relay-rf200,trungnam,LORA,7,125000,3.00,-113.00,921400000,1,15,16.142001,108.132999,52.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442219,"2022-01-22 02:02:07.396+00",end-node1,relay-rf200,trungnam,LORA,7,125000,9.80,-92.00,921400000,1,17,16.142296,108.131385,37.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442238,"2022-01-22 02:02:16.453+00",end-node1,relay-rf200,trungnam,LORA,7,125000,0.80,-100.00,921400000,1,18,16.142101,108.130794,32.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442250,"2022-01-22 02:02:24.807+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.30,-107.00,921400000,1,19,16.142563,108.130201,30.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442293,"2022-01-22 02:02:42.979+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-0.50,-115.00,921400000,1,21,16.143748,108.130163,22.0,2.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442336,"2022-01-22 02:02:51.234+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.50,-102.00,921400000,1,22,16.144033,108.129716,19.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442358,"2022-01-22 02:02:59.344+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.80,-104.00,921400000,1,23,16.143465,108.129338,16.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442378,"2022-01-22 02:03:08.419+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.00,-101.00,921400000,1,24,16.143084,108.128609,12.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442396,"2022-01-22 02:03:17.025+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.80,-110.00,921400000,1,25,16.143459,108.127852,8.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442424,"2022-01-22 02:03:26.224+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.30,-103.00,921400000,1,26,16.143368,108.127029,4.0,4.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442447,"2022-01-22 02:03:35.821+00",end-node1,relay-rf200,trungnam,LORA,7,125000,6.00,-110.00,921400000,1,27,16.143283,108.126192,-1.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442537,"2022-01-22 02:04:21.349+00",end-node1,relay-rf200,trungnam,LORA,7,125000,5.00,-105.00,921400000,1,32,16.143505,108.121630,-14.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479442550,"2022-01-22 02:04:30.939+00",end-node1,relay-rf200,7276ff002e0507da,LORA,7,125000,-8.20,-109.00,921400000,1,33,16.142880,108.120803,-15.0,3.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
