uid,Session,AppID,DevID,DevEui,Time,FPort,FCnt,Frequency,Modulation,Bandwidth,SpreadingFactor,Bitrate,CodingRate,GatewayId,GatewayEui,AntennaIndex,GatewayTime,GatewayTimestamp,FineTimestamp,FineTimestampEncrypted,FineTimestampEncryptedKeyId,ChannelIndex,Rssi,SignalRssi,Snr,GatewayLatitude,GatewayLongitude,GatewayAltitude,GatewayLocationAccuracy,GatewayLocationSource,Latitude,Longitude,Altitude,AccuracyMeters,Satellites,Hdop,AccuracySource,Experiment,UserId,UserAgent,
,0,22,-96,-105,-8,16.0755,108.223,90,0,SOURCE_REGISTRY,16.0685,108.225,-4.44272,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
805,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214601348000000,1,15,922200000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214601001000000,3116497435,null,null,null,4,-105,null,3.5,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0685,108.225,-4.06267,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
806,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214601348000000,1,15,922200000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964801001000000,556729371,null,W0JANjczYzNj
,0,4,-100,-104,-1,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0685,108.225,-4.06267,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
807,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214607502000000,1,16,922400000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214607171000000,3122667580,null,null,null,5,-102,null,5,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-4.19139,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
808,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214607502000000,1,16,922400000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800171000000,562899516,440751861,W0JAMmI3MWRjNQ==
,0,5,-102,-111,-8,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-4.19139,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
809,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214614617000000,1,17,922600000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214614277000000,3129774132,null,null,null,6,-102,null,4.8,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-4.52012,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
810,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214614617000000,1,17,922600000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964801277000000,570006060,250190401,W0JAZTY3ZTMxYQ==
,0,6,-98,-100,1,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-4.52012,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
